participant_id,sender,sender_type,sender_id,timestamp,meta,,correct,correctPositions,duration,ended_on,lab_name,options,participant_age,participant_gender,participant_group,picture,response,responses,span,span_length,strategy_cumulative,strategy_no_choice,strategy_none,strategy_rehearse,strategy_response,strategy_visual,time_commit,time_duration,time_end,time_render,time_run,time_show,time_switch,timing,trial type,url
,Visor Instruction for delay,canvas.Screen,8_4_2,2018-12-14T20:27:38.282Z,,,,,15016.066,timeout,,,,,,,,,"[""comb"",""moon"",""apple"",""flower""]",4,,,,,,,718484,,718482.198,703482.798,703468,703499.464,718515.53,,point and name,
,Recall,html.Screen,8_4_3,2018-12-14T20:27:54.020Z,,,FALSE,"[false,true,true,false]",15707.47,done,,"[""flag"",""apple"",""moon"",""pencil"",""owl"",""comb"",""flower""]",,,,,,"[""flower"",""moon"",""apple"",""comb""]","[""comb"",""moon"",""apple"",""flower""]",4,,,,,,,734223,,734223,718482.198,718485,718515.53,734248.234,,point and name,
,Trial sequence for Point and Name,flow.Sequence,8_4,2018-12-14T20:27:54.020Z,,,,,37889.916,completion,,,,,,,,,"[""comb"",""moon"",""apple"",""flower""]",4,,,,,,,734223,,734223,696316.418,696311,696333.084,734248.234,,point and name,
,Get-set-go,html.Screen,8_5_0,2018-12-14T20:27:58.320Z,,,,,4274.766,response,,,,,,,continue,,"[""apple"",""comb"",""flower"",""flag""]",4,,,,,,,738523,,738523,734214.902,734223,734248.234,738548.062,,point and name,
,Learning phase,flow.Loop,8_5_1,2018-12-14T20:28:04.381Z,,,,,6033.092,completion,,"[""pencil"",""owl"",""flag"",""moon"",""comb"",""flower"",""apple""]",,,,,,,"[""apple"",""comb"",""flower"",""flag""]",4,,,,,,,744584,,744581.154,738514.73,738523,738548.062,744614.486,,point and name,
,Visor Instruction for delay,canvas.Screen,8_5_2,2018-12-14T20:28:19.397Z,,,,,15016.066,timeout,,,,,,,,,"[""apple"",""comb"",""flower"",""flag""]",4,,,,,,,759600,,759597.22,744597.82,744585,744614.486,759630.552,,point and name,
,Recall,html.Screen,8_5_3,2018-12-14T20:28:28.205Z,,,FALSE,"[true,true,false,false]",8777.448,done,,"[""comb"",""flower"",""pencil"",""flag"",""moon"",""owl"",""apple""]",,,,,,"[""apple"",""comb"",""flag"",""flower""]","[""apple"",""comb"",""flower"",""flag""]",4,,,,,,,768408,,768408,759597.22,759600,759630.552,768446.866,,point and name,
,Trial sequence for Point and Name,flow.Sequence,8_5,2018-12-14T20:28:28.205Z,,,,,34159.766,completion,,,,,,,,,"[""apple"",""comb"",""flower"",""flag""]",4,,,,,,,768408,,768408,734214.902,734223,734248.234,768446.866,,point and name,
,Get-set-go,html.Screen,8_6_0,2018-12-14T20:28:29.473Z,,,,,1228.134,response,,,,,,,continue,,"[""comb"",""moon"",""pencil"",""flag"",""apple""]",5,,,,,,,769676,,769675,768396.868,768408,768446.866,769680.15,,point and name,
,Learning phase,flow.Loop,8_6_1,2018-12-14T20:28:36.962Z,,,,,7483.034,completion,,"[""flag"",""pencil"",""apple"",""flower"",""owl"",""moon"",""comb""]",,,,,,,"[""comb"",""moon"",""pencil"",""flag"",""apple""]",5,,,,,,,777165,,777163.184,769663.484,769676,769680.15,777196.516,,point and name,
,Visor Instruction for delay,canvas.Screen,8_6_2,2018-12-14T20:28:51.978Z,,,,,15032.732,timeout,,,,,,,,,"[""comb"",""moon"",""pencil"",""flag"",""apple""]",5,,,,,,,792181,,792179.25,777179.85,777166,777196.516,792229.248,,point and name,
,Recall,html.Screen,8_6_3,2018-12-14T20:29:00.638Z,,,FALSE,"[false,true,true,true,true]",8610.752,done,,"[""moon"",""comb"",""apple"",""owl"",""pencil"",""flower"",""flag""]",,,,,,"[""flower"",""moon"",""pencil"",""flag"",""apple""]","[""comb"",""moon"",""pencil"",""flag"",""apple""]",5,,,,,,,800840,,800840,792179.25,792181,792229.248,800862.236,,point and name,
,Trial sequence for Point and Name,flow.Sequence,8_6,2018-12-14T20:29:00.638Z,,,,,32393.134,completion,,,,,,,,,"[""comb"",""moon"",""pencil"",""flag"",""apple""]",5,,,,,,,800840,,800840,768396.868,768408,768446.866,800862.236,,point and name,
,Get-set-go,html.Screen,8_7_0,2018-12-14T20:29:03.951Z,,,,,3291.764,response,,,,,,,continue,,"[""moon"",""owl"",""flower"",""apple"",""comb""]",5,,,,,,,804154,,804154,800828.904,800840,800862.236,804178.77,,point and name,
,Learning phase,flow.Loop,8_7_1,2018-12-14T20:29:11.460Z,,,,,7483.034,completion,,"[""apple"",""pencil"",""owl"",""comb"",""moon"",""flag"",""flower""]",,,,,,,"[""moon"",""owl"",""flower"",""apple"",""comb""]",5,,,,,,,811663,,811661.804,804145.438,804154,804178.77,811695.136,,point and name,
,Visor Instruction for delay,canvas.Screen,8_7_2,2018-12-14T20:29:26.477Z,,,,,15016.066,timeout,,,,,,,,,"[""moon"",""owl"",""flower"",""apple"",""comb""]",5,,,,,,,826679,,826677.87,811678.47,811664,811695.136,826711.202,,point and name,
,Recall,html.Screen,8_7_3,2018-12-14T20:29:39.723Z,,,FALSE,"[false,true,false,true,true]",13212.798,done,,"[""owl"",""moon"",""flag"",""flower"",""apple"",""comb"",""pencil""]",,,,,,"[""flower"",""owl"",""moon"",""apple"",""comb"",""flag""]","[""moon"",""owl"",""flower"",""apple"",""comb""]",5,,,,,,,839925,,839924,826677.87,826680,826711.202,839960.672,,point and name,
,Trial sequence for Point and Name,flow.Sequence,8_7,2018-12-14T20:29:39.723Z,,,,,39061.764,completion,,,,,,,,,"[""moon"",""owl"",""flower"",""apple"",""comb""]",5,,,,,,,839925,,839924,800828.904,800840,800862.236,839960.672,,point and name,
,Point and Name task,flow.Loop,8,2018-12-14T20:29:39.724Z,,,,,258336.326,completion,,,,,,,,,,,,,,,,,839926,,839924,581554.342,581567,581587.674,839960.672,,,
,Goodbye Screen,html.Screen,9,2018-12-14T20:29:40.743Z,,,,,999.96,timeout,,,,,,,,,,,,,,,,,840946,,840943.966,839927.34,839927,839960.672,840960.632,,,
,root,flow.Sequence,,2018-12-14T20:29:40.746Z,,,,,840433.048,completion,,,,,,,,,,,,,,,,,840948,,840943.966,460.92,482,510.918,840977.298,,,
