participant_id,sender,sender_type,sender_id,timestamp,meta,,correct,correctPositions,duration,ended_on,lab_name,options,participant_age,participant_gender,participant_group,picture,response,responses,span,span_length,strategy_cumulative,strategy_no_choice,strategy_none,strategy_rehearse,strategy_response,time_commit,time_duration,time_end,time_render,time_run,timing,trial type
,Visor Instruction for delay,canvas.Screen,8_4_2,2018-06-05T13:27:32.721Z,,,,,15012.30000006035,timeout,,,,,,,,,"[""flag"",""pencil"",""moon"",""comb""]",4,,,,,,1769880.1999997813,,1769879.2999999132,,1754866.9999998529,,point and name
,Recall,html.Screen,8_4_3,2018-06-05T13:27:37.070Z,,,true,"[true,true,true,true]",4348.299999954179,done,,"[""comb"",""flower"",""apple"",""pencil"",""moon"",""owl"",""flag""]",,,,,,"[""flag"",""pencil"",""moon"",""comb""]","[""flag"",""pencil"",""moon"",""comb""]",4,,,,,,1774229.8999999184,,1774229.4999998994,,1769881.1999999452,,point and name
,Trial sequence for Point and Name,flow.Sequence,8_4,2018-06-05T13:27:37.070Z,,,,,30527.40000002086,completion,,,,,,,,,"[""flag"",""pencil"",""moon"",""comb""]",4,,,,,,1774230.4000000004,,1774230.1999998745,,1743702.7999998536,,point and name
,Get-set-go,html.Screen,8_5_0,2018-06-05T13:27:39.202Z,,,,,2128.3000002149493,response,,,,,,,continue,,"[""flag"",""flower"",""moon"",""pencil""]",4,,,,,,1776362.2999999207,,1776359.1000000015,,1774230.7999997865,,point and name
,Learning phase,flow.Loop,8_5_1,2018-06-05T13:27:45.244Z,,,,,6039.600000018254,completion,,,,,,,,,"[""flag"",""flower"",""moon"",""pencil""]",4,,,,,,1782402.999999933,,1782402.499999851,,1776362.8999998327,,point and name
,Visor Instruction for delay,canvas.Screen,8_5_2,2018-06-05T13:28:00.258Z,,,,,15011.699999915436,timeout,,,,,,,,,"[""flag"",""flower"",""moon"",""pencil""]",4,,,,,,1797417.9000000004,,1797416.9999998994,,1782405.299999984,,point and name
,Recall,html.Screen,8_5_3,2018-06-05T13:28:05.857Z,,,true,"[true,true,true,true]",5597.499999916181,done,,"[""pencil"",""flag"",""flower"",""comb"",""moon"",""owl"",""apple""]",,,,,,"[""flag"",""flower"",""moon"",""pencil""]","[""flag"",""flower"",""moon"",""pencil""]",4,,,,,,1803017.7999997977,,1803017.0999998227,,1797419.5999999065,,point and name
,Trial sequence for Point and Name,flow.Sequence,8_5,2018-06-05T13:28:05.859Z,,,,,28787.4999998603,completion,,,,,,,,,"[""flag"",""flower"",""moon"",""pencil""]",4,,,,,,1803018.6999998987,,1803018.1999998167,,1774230.6999999564,,point and name
,Get-set-go,html.Screen,8_6_0,2018-06-05T13:28:08.722Z,,,,,2857.30000003241,response,,,,,,,continue,,"[""owl"",""flower"",""comb"",""pencil"",""moon""]",5,,,,,,1805881.3999998383,,1805876.799999969,,1803019.4999999367,,point and name
,Learning phase,flow.Loop,8_6_1,2018-06-05T13:28:16.275Z,,,,,7551.29999993369,completion,,,,,,,,,"[""owl"",""flower"",""comb"",""pencil"",""moon""]",5,,,,,,1813434.199999785,,1813433.599999873,,1805882.2999999393,,point and name
,Visor Instruction for delay,canvas.Screen,8_6_2,2018-06-05T13:28:31.289Z,,,,,15010.899999877438,timeout,,,,,,,,,"[""owl"",""flower"",""comb"",""pencil"",""moon""]",5,,,,,,1828448.4999999404,,1828447.5999998394,,1813436.699999962,,point and name
,Recall,html.Screen,8_6_3,2018-06-05T13:28:38.944Z,,,true,"[true,true,true,true,true]",7654.100000159815,done,,"[""flag"",""pencil"",""comb"",""flower"",""moon"",""owl"",""apple""]",,,,,,"[""owl"",""flower"",""comb"",""pencil"",""moon""]","[""owl"",""flower"",""comb"",""pencil"",""moon""]",5,,,,,,1836103.8999999873,,1836103.2000000123,,1828449.0999998525,,point and name
,Trial sequence for Point and Name,flow.Sequence,8_6,2018-06-05T13:28:38.945Z,,,,,33085.100000025705,completion,,,,,,,,,"[""owl"",""flower"",""comb"",""pencil"",""moon""]",5,,,,,,1836104.6999997925,,1836104.3000000063,,1803019.1999999806,,point and name
,Get-set-go,html.Screen,8_7_0,2018-06-05T13:28:41.954Z,,,,,3005.3999999072403,response,,,,,,,continue,,"[""comb"",""pencil"",""flag"",""apple"",""moon""]",5,,,,,,1839114.7999998648,,1839110.7999999076,,1836105.4000000004,,point and name
,Learning phase,flow.Loop,8_7_1,2018-06-05T13:28:49.492Z,,,,,7535.600000061095,completion,,,,,,,,,"[""comb"",""pencil"",""flag"",""apple"",""moon""]",5,,,,,,1846651.699999813,,1846651.099999901,,1839115.4999998398,,point and name
,Visor Instruction for delay,canvas.Screen,8_7_2,2018-06-05T13:29:04.505Z,,,,,15010.09999983944,timeout,,,,,,,,,"[""comb"",""pencil"",""flag"",""apple"",""moon""]",5,,,,,,1861665.5999999493,,1861664.2999998294,,1846654.19999999,,point and name
,Recall,html.Screen,8_7_3,2018-06-05T13:29:13.954Z,,,true,"[true,true,true,true,true]",9447.500000009313,done,,"[""apple"",""pencil"",""flower"",""owl"",""comb"",""flag"",""moon""]",,,,,,"[""comb"",""pencil"",""flag"",""apple"",""moon""]","[""comb"",""pencil"",""flag"",""apple"",""moon""]",5,,,,,,1871114.5999999717,,1871113.9999998268,,1861666.4999998175,,point and name
,Trial sequence for Point and Name,flow.Sequence,8_7,2018-06-05T13:29:13.956Z,,,,,35009.7999998834,completion,,,,,,,,,"[""comb"",""pencil"",""flag"",""apple"",""moon""]",5,,,,,,1871115.6999999657,,1871115.0999998208,,1836105.2999999374,,point and name
,Point and Name task,flow.Loop,8,2018-06-05T13:29:13.956Z,,,,,378758.3999999333,completion,,,,,,,,,,,,,,,,1871116.3999999408,,1871115.8999998588,,1492357.4999999255,,
,Goodbye Screen,canvas.Screen,9,2018-06-05T13:29:15.952Z,,,,,1991.2000000476837,response,,,,,,,exit screen,,,,,,,,,1873111.9999999646,,1873110.4999999516,,1871119.299999904,,
,root,flow.Sequence,,2018-06-05T13:29:15.954Z,,,,,1872616.5999998339,completion,,,,,,,,,,,,,,,,1873113.8999999966,,1873112.4999998137,,495.89999997988343,,
